feature,mean_importance
Feature_2,0.005530732928309595
Feature_9,0.005758321858011189
Feature_28,0.00710714060813189
Feature_72,0.008115267143584792
Feature_8,0.009630261994898321
Feature_36,0.017570909357164054
Feature_59,0.0181466158782132
Feature_71,0.02436826503137126
Feature_73,0.030956184174865488
Feature_31,0.03252767097903417
Feature_70,0.032772045785095544
Feature_51,0.04499662231653928
Feature_47,0.05442483666818589
Feature_41,0.07400490430183708
Feature_106_diff_Feature_66,0.07742708554491401
Feature_40,0.08460947328014298
