feature,mean_importance
Feature_49,-0.01263916068943215
Feature_38,-0.010466289496980596
Feature_11,-0.0083503300976008
Feature_42,-0.005013394525740278
Feature_70,-0.004958332655951381
Feature_43,-0.004852599152363834
Feature_53,-0.0042237200285307865
Feature_44,-0.0024528140155598453
Feature_1,-0.0023797868145629788
Feature_90_sum_Feature_106,-0.001050264909863452
Feature_45,-0.000850504005793462
Feature_92_sum_Feature_106,-0.0006572856009006478
Feature_24,-0.0005380208045244195
Feature_39,-0.00016999704064800668
Feature_16,0.0
Feature_85,0.0
Feature_83,0.0
Feature_82,0.0
Feature_81,0.0
Feature_80,0.0
Feature_79,0.0
Feature_78,0.0
Feature_77,0.0
Feature_76,0.0
Feature_75,0.0
Feature_74,0.0
Feature_69,0.0
Feature_68,0.0
Feature_15,0.0
Feature_87,0.0
Feature_88,0.0
Feature_89,0.0
Feature_90,0.0
Feature_31_diff_Feature_1122,0.0
Feature_79_sum_Feature_106,0.0
Feature_62_sum_Feature_106,0.0
Feature_62_multiply_Feature_106,0.0
Feature_109_sum_Feature_106,0.0
Feature_1122,0.0
Feature_66,0.0
Feature_99,0.0
Feature_97,0.0
Feature_96,0.0
Feature_95,0.0
Feature_93,0.0
Feature_92,0.0
Feature_91,0.0
Feature_98,0.0
Feature_110,0.0
Feature_67,0.0
Feature_62,0.0
Feature_10,0.0
Feature_14,0.0
Feature_109,0.0
Feature_50,0.0
Feature_52,0.0
Feature_12,0.0
Feature_27,0.0
Feature_107,0.0
Feature_60,0.0
Feature_21,0.0
Feature_22,0.0
Feature_61,0.0
Feature_26,0.0
Feature_25,0.0
Feature_13,0.0
Feature_58,0.00010640197666362816
Feature_106,0.0003179670311510785
Feature_7,0.0005008616135455779
Feature_56,0.0010088954423554397
Feature_84,0.0013187876716256209
Feature_31_sum_Feature_106,0.0024247119389474658
Feature_8,0.002986674122512345
Feature_57,0.003605758566409367
Feature_9,0.00551854193909096
Feature_55,0.005980771447066236
Feature_46,0.006149989818222834
Feature_37,0.006849589669145661
Feature_109_multiply_Feature_106,0.007884582914412042
Feature_86,0.00821580392774196
Feature_73,0.008271280699409545
Feature_72,0.008453880550805492
Feature_28,0.008769756485708057
Feature_51,0.00899409292964265
Feature_64,0.010810724662151206
Feature_48,0.010838136852253233
Feature_63,0.011685683447867645
Feature_71,0.01485591657925398
Feature_36,0.014926212853752086
Feature_59,0.017200137239415193
Feature_2,0.01730610688216986
Feature_47,0.02467738506384195
Feature_41,0.026331605312880146
Feature_40,0.027314720696303994
Feature_31,0.05410123174078764
Feature_106_diff_Feature_66,0.0856435263482854
