feature,mean_importance
Feature_49,-0.02295193683356044
Feature_43,-0.013821917111054039
Feature_31_sum_Feature_106,-0.012213758700527233
Feature_90_sum_Feature_106,-0.009331235829740747
Feature_36,-0.008833973952569052
Feature_106,-0.005434514493681463
Feature_73,-0.004992423471994678
Feature_109_multiply_Feature_106,-0.004815104231238354
Feature_92_sum_Feature_106,-0.0033529012510552848
Feature_79_sum_Feature_106,-0.0028394625242799234
Feature_70,-0.0014294669637456181
Feature_9,-0.001366635710000974
Feature_38,-0.0008554434590041348
Feature_58,-9.661814197894358e-05
Feature_68,0.0
Feature_81,0.0
Feature_80,0.0
Feature_79,0.0
Feature_77,0.0
Feature_69,0.0
Feature_76,0.0
Feature_75,0.0
Feature_74,0.0
Feature_66,0.0
Feature_78,0.0
Feature_82,0.0
Feature_88,0.0
Feature_85,0.0
Feature_31_diff_Feature_1122,0.0
Feature_62_sum_Feature_106,0.0
Feature_62_multiply_Feature_106,0.0
Feature_109_sum_Feature_106,0.0
Feature_1122,0.0
Feature_99,0.0
Feature_98,0.0
Feature_83,0.0
Feature_97,0.0
Feature_95,0.0
Feature_93,0.0
Feature_92,0.0
Feature_91,0.0
Feature_89,0.0
Feature_110,0.0
Feature_87,0.0
Feature_96,0.0
Feature_109,0.0
Feature_1,0.0
Feature_22,0.0
Feature_45,0.0
Feature_13,0.0
Feature_24,0.0
Feature_14,0.0
Feature_50,0.0
Feature_10,0.0
Feature_52,0.0
Feature_61,0.0
Feature_15,0.0
Feature_16,0.0
Feature_107,0.0
Feature_55,0.0
Feature_21,0.0
Feature_27,0.0
Feature_26,0.0
Feature_25,0.0
Feature_60,0.0
Feature_12,0.0
Feature_90,0.00022222823463382557
Feature_42,0.0002944847010076246
Feature_57,0.0005147904437035611
Feature_11,0.000595349315553928
Feature_62,0.0012078159535304001
Feature_63,0.001237189481034895
Feature_67,0.0014733094163239201
Feature_56,0.0019787400215864337
Feature_46,0.002770718820393092
Feature_86,0.002956889765337134
Feature_7,0.0032401711121201717
Feature_53,0.0033409016113728485
Feature_64,0.004671504301950358
Feature_37,0.005799930235371032
Feature_48,0.006481593311764333
Feature_72,0.00837063446640971
Feature_59,0.008533633933402618
Feature_106_diff_Feature_66,0.011081350436434167
Feature_44,0.011360413683578397
Feature_39,0.011589243006892524
Feature_84,0.0117396281892434
Feature_8,0.012186801936477443
Feature_71,0.01949842755217107
Feature_28,0.020386247611604645
Feature_31,0.02448702618945392
Feature_2,0.027731696912087534
Feature_51,0.033424642561003595
Feature_41,0.03986297729890796
Feature_40,0.05106900900602342
Feature_47,0.06329311185982081
