feature,mean_importance
Feature_64,-0.020785802355967477
Feature_39,-0.01485410289838911
Feature_37,-0.01129568093456329
Feature_40,-0.011149318069219604
Feature_55,-0.004690190702676777
Feature_48,-0.003940970175899572
Feature_45,-0.0019303609710186853
Feature_109_multiply_Feature_106,-0.0015093179792165846
Feature_62,-0.0013604423869401304
Feature_63,-0.001253339853137736
Feature_2,-0.0010340488888323617
Feature_57,-0.0009156739059835717
Feature_15,-0.0008303432073444306
Feature_44,-0.0005933158099651447
Feature_56,-0.0003907396644353911
Feature_60,-0.00028269155882298946
Feature_68,0.0
Feature_66,0.0
Feature_79_sum_Feature_106,0.0
Feature_74,0.0
Feature_75,0.0
Feature_77,0.0
Feature_78,0.0
Feature_79,0.0
Feature_31_diff_Feature_1122,0.0
Feature_80,0.0
Feature_81,0.0
Feature_67,0.0
Feature_69,0.0
Feature_1122,0.0
Feature_83,0.0
Feature_99,0.0
Feature_98,0.0
Feature_97,0.0
Feature_96,0.0
Feature_95,0.0
Feature_93,0.0
Feature_92,0.0
Feature_90_sum_Feature_106,0.0
Feature_91,0.0
Feature_89,0.0
Feature_88,0.0
Feature_109_sum_Feature_106,0.0
Feature_87,0.0
Feature_62_multiply_Feature_106,0.0
Feature_62_sum_Feature_106,0.0
Feature_85,0.0
Feature_90,0.0
Feature_82,0.0
Feature_1,0.0
Feature_109,0.0
Feature_26,0.0
Feature_50,0.0
Feature_25,0.0
Feature_22,0.0
Feature_52,0.0
Feature_21,0.0
Feature_16,0.0
Feature_14,0.0
Feature_13,0.0
Feature_12,0.0
Feature_107,0.0
Feature_58,0.0
Feature_10,0.0
Feature_61,0.0
Feature_106,0.0
Feature_27,0.0
Feature_110,0.0
Feature_86,4.8641683533778844e-05
Feature_24,6.72878697514423e-05
Feature_76,0.00032556748948990854
Feature_7,0.0004905419889837503
Feature_84,0.000903242807835325
Feature_9,0.000917942952364681
Feature_11,0.0010094886831939153
Feature_38,0.0012692670058458756
Feature_31_sum_Feature_106,0.0013268098980188324
Feature_72,0.0016046213358640426
Feature_92_sum_Feature_106,0.002682881169021123
Feature_42,0.0028530205413698994
Feature_59,0.0034700281079858343
Feature_8,0.003553801523521527
Feature_46,0.004339966103434556
Feature_49,0.004938938096165646
Feature_43,0.006528256870806204
Feature_31,0.008389128949493152
Feature_36,0.008686404577456397
Feature_70,0.012339383447542773
Feature_53,0.013981830589473231
Feature_71,0.015480971718206993
Feature_73,0.03361183443106709
Feature_47,0.04637449675239622
Feature_51,0.05259423999115824
Feature_28,0.055044504832476374
Feature_106_diff_Feature_66,0.09026486778631805
Feature_41,0.0943890438042581
