feature,mean_importance
Feature_72,-0.01666073124390093
Feature_9,-0.0003425568342208529
Feature_8,0.005497920364141473
Feature_36,0.00557390735019
Feature_71,0.015868194727227124
Feature_70,0.01609105673152955
Feature_41,0.021299801832065014
Feature_40,0.021510344562120753
Feature_73,0.024489428265951595
Feature_28,0.03712885087355973
Feature_59,0.04328923480585219
Feature_31,0.04464129076804968
Feature_51,0.05879131688270719
Feature_47,0.10185516162309798
Feature_2,0.11922479914966973
Feature_106_diff_Feature_66,0.11960594668984414
