feature,mean_importance
Feature_46,-0.011525090192444598
Feature_92_sum_Feature_106,-0.008222198458388442
Feature_48,-0.0047336216922849285
Feature_62,-0.004378071306273323
Feature_109_multiply_Feature_106,-0.00407471302896738
Feature_49,-0.001887131500989181
Feature_110,0.0
Feature_87,0.0
Feature_86,0.0
Feature_85,0.0
Feature_83,0.0
Feature_82,0.0
Feature_81,0.0
Feature_80,0.0
Feature_79,0.0
Feature_77,0.0
Feature_75,0.0
Feature_69,0.0
Feature_68,0.0
Feature_7,0.0
Feature_109,0.0
Feature_88,0.0
Feature_89,0.0
Feature_90,0.0
Feature_91,0.0
Feature_31_diff_Feature_1122,0.0
Feature_79_sum_Feature_106,0.0
Feature_62_sum_Feature_106,0.0
Feature_62_multiply_Feature_106,0.0
Feature_109_sum_Feature_106,0.0
Feature_90_sum_Feature_106,0.0
Feature_31_sum_Feature_106,0.0
Feature_1122,0.0
Feature_99,0.0
Feature_98,0.0
Feature_97,0.0
Feature_96,0.0
Feature_95,0.0
Feature_93,0.0
Feature_92,0.0
Feature_61,0.0
Feature_60,0.0
Feature_1,0.0
Feature_21,0.0
Feature_26,0.0
Feature_25,0.0
Feature_24,0.0
Feature_22,0.0
Feature_52,0.0
Feature_106,0.0
Feature_27,0.0
Feature_16,0.0
Feature_14,0.0
Feature_107,0.0
Feature_13,0.0
Feature_12,0.0
Feature_11,0.0
Feature_10,0.0
Feature_15,0.0
Feature_50,0.0
Feature_66,2.8633987531068162e-05
Feature_8,6.503880023959186e-05
Feature_39,0.0001666123978793732
Feature_78,0.0003034707158804051
Feature_58,0.0004161549266427977
Feature_76,0.0006546830665320247
Feature_56,0.0007002250524237863
Feature_43,0.0010481239296496025
Feature_67,0.0012094139680266514
Feature_9,0.0013660835102200619
Feature_55,0.001642715786583726
Feature_2,0.0020357682323083326
Feature_45,0.0024818613380193978
Feature_42,0.0026684419903904356
Feature_57,0.0032248208019882707
Feature_74,0.003929219171404841
Feature_53,0.00400339486077429
Feature_38,0.004140331353992233
Feature_51,0.004401460173539829
Feature_64,0.005494805565103911
Feature_70,0.006109350360929977
Feature_63,0.006796185579150927
Feature_37,0.007001736224628996
Feature_36,0.007937404369004076
Feature_71,0.007948800520971421
Feature_40,0.008581122285686449
Feature_84,0.008796656359918432
Feature_59,0.010431889127939964
Feature_44,0.01364096065983178
Feature_72,0.014485355420038103
Feature_47,0.017944562984630475
Feature_73,0.022794879884459097
Feature_31,0.031186549314297752
Feature_106_diff_Feature_66,0.05739908187184484
Feature_28,0.05750927727203818
Feature_41,0.06993256685789677
