feature,mean_importance
Feature_109_multiply_Feature_106,-0.010955906617455168
Feature_92_sum_Feature_106,-0.0036015611607581265
Feature_48,-0.0032402279600500907
Feature_49,-0.0026338189793750468
Feature_55,-0.0013454648898914123
Feature_9,-0.0005943571124225721
Feature_62,-0.0003807985316961693
Feature_38,-0.00023534493520852573
Feature_107,0.0
Feature_106,0.0
Feature_56,0.0
Feature_97,0.0
Feature_58,0.0
Feature_96,0.0
Feature_60,0.0
Feature_61,0.0
Feature_95,0.0
Feature_109,0.0
Feature_110,0.0
Feature_10,0.0
Feature_85,0.0
Feature_93,0.0
Feature_69,0.0
Feature_92,0.0
Feature_91,0.0
Feature_90,0.0
Feature_89,0.0
Feature_88,0.0
Feature_75,0.0
Feature_76,0.0
Feature_77,0.0
Feature_78,0.0
Feature_79,0.0
Feature_80,0.0
Feature_68,0.0
Feature_81,0.0
Feature_52,0.0
Feature_50,0.0
Feature_12,0.0
Feature_13,0.0
Feature_14,0.0
Feature_15,0.0
Feature_16,0.0
Feature_21,0.0
Feature_22,0.0
Feature_24,0.0
Feature_25,0.0
Feature_26,0.0
Feature_27,0.0
Feature_31_diff_Feature_1122,0.0
Feature_79_sum_Feature_106,0.0
Feature_62_sum_Feature_106,0.0
Feature_82,0.0
Feature_62_multiply_Feature_106,0.0
Feature_109_sum_Feature_106,0.0
Feature_87,0.0
Feature_90_sum_Feature_106,0.0
Feature_31_sum_Feature_106,0.0
Feature_1122,0.0
Feature_83,0.0
Feature_99,0.0
Feature_7,0.0
Feature_98,0.0
Feature_66,9.974471293391351e-05
Feature_63,0.000164798256009846
Feature_46,0.0002486618654802708
Feature_43,0.0005388975888490855
Feature_53,0.0005502341315150483
Feature_8,0.0008023798465728981
Feature_1,0.0008187978900969228
Feature_2,0.0008369144005701213
Feature_45,0.0009561840444803349
Feature_86,0.001220558360219026
Feature_11,0.0012340498436242409
Feature_67,0.0017329625040293007
Feature_70,0.002334337579086443
Feature_40,0.0032256402680650663
Feature_74,0.0034087913110852465
Feature_42,0.004460621830076006
Feature_57,0.004509744541719573
Feature_64,0.007311860704794548
Feature_44,0.007841710471548158
Feature_84,0.008169306935742516
Feature_39,0.009790138271637295
Feature_36,0.010602940968237839
Feature_73,0.014261168986558947
Feature_37,0.016270030029118088
Feature_59,0.018938015396706788
Feature_72,0.01932702917139979
Feature_71,0.023702253056690114
Feature_47,0.024906977289356303
Feature_51,0.026308751557953668
Feature_31,0.03400971401948484
Feature_28,0.0481274602049962
Feature_106_diff_Feature_66,0.06504442603792998
Feature_41,0.08739736239891502
