feature,mean_importance
Feature_49,-0.01461108761373906
Feature_38,-0.007123832795768959
Feature_11,-0.005377143467776469
Feature_53,-0.004863875326700495
Feature_70,-0.00443050148431211
Feature_42,-0.0022649522172286996
Feature_45,-0.002241555014625174
Feature_106,-0.0019021451612934227
Feature_1,-0.0008723491989076071
Feature_58,-0.0002855223231017501
Feature_69,0.0
Feature_67,0.0
Feature_83,0.0
Feature_66,0.0
Feature_75,0.0
Feature_76,0.0
Feature_77,0.0
Feature_110,0.0
Feature_79,0.0
Feature_80,0.0
Feature_81,0.0
Feature_82,0.0
Feature_68,0.0
Feature_74,0.0
Feature_85,0.0
Feature_87,0.0
Feature_31_diff_Feature_1122,0.0
Feature_79_sum_Feature_106,0.0
Feature_62_sum_Feature_106,0.0
Feature_62_multiply_Feature_106,0.0
Feature_109_sum_Feature_106,0.0
Feature_90_sum_Feature_106,0.0
Feature_1122,0.0
Feature_99,0.0
Feature_92_sum_Feature_106,0.0
Feature_98,0.0
Feature_96,0.0
Feature_95,0.0
Feature_93,0.0
Feature_92,0.0
Feature_91,0.0
Feature_90,0.0
Feature_89,0.0
Feature_88,0.0
Feature_97,0.0
Feature_62,0.0
Feature_109,0.0
Feature_60,0.0
Feature_25,0.0
Feature_61,0.0
Feature_24,0.0
Feature_22,0.0
Feature_21,0.0
Feature_16,0.0
Feature_15,0.0
Feature_14,0.0
Feature_26,0.0
Feature_13,0.0
Feature_50,0.0
Feature_12,0.0
Feature_107,0.0
Feature_10,0.0
Feature_56,0.0
Feature_27,0.0
Feature_78,0.00017605006694795255
Feature_52,0.00028380486648531543
Feature_43,0.0008360904268920443
Feature_7,0.0010473429597914418
Feature_8,0.001380276945419623
Feature_84,0.0014395655039698197
Feature_39,0.00227886037901045
Feature_31_sum_Feature_106,0.002526829876005654
Feature_109_multiply_Feature_106,0.002656739871017644
Feature_64,0.0028942771395668474
Feature_57,0.0031670004082843704
Feature_37,0.003452720511704699
Feature_44,0.0036989040672779196
Feature_46,0.004425113848410567
Feature_55,0.006058759326115259
Feature_72,0.006902069943025724
Feature_9,0.00753029475919903
Feature_86,0.00823419942986221
random_feature,0.008615116495639097
Feature_63,0.008919367529451872
Feature_28,0.009019666393287485
Feature_59,0.011622724980115906
Feature_36,0.012177949319593618
Feature_71,0.013241794002242402
Feature_2,0.013568403436802334
Feature_48,0.014509230800904337
Feature_73,0.01753674916923047
Feature_51,0.02142096919938923
Feature_40,0.032254726928658786
Feature_41,0.033553796545602387
Feature_47,0.04557737874798479
Feature_31,0.06162145414855332
Feature_106_diff_Feature_66,0.1012304488848895
