feature,mean_importance
Feature_49,-0.006648480109870436
Feature_48,-0.005546927414834502
Feature_74,-0.004360246378928423
Feature_75,-0.003650096096098443
Feature_42,-0.0027738746255636325
Feature_64,-0.002683166041970264
Feature_46,-0.0026628905162215276
Feature_31_sum_Feature_106,-0.0018418564554303907
Feature_45,-0.001570437625050536
Feature_38,-0.0013680094387382268
Feature_11,-0.0011137109808623924
Feature_56,-0.0008985410630703017
Feature_58,-0.0007947312574833609
Feature_67,-0.0002992572076618627
Feature_84,-0.000264927828684447
Feature_90_sum_Feature_106,-0.00013669263571499667
Feature_55,-8.501411415635651e-05
Feature_81,0.0
Feature_80,0.0
Feature_69,0.0
Feature_66,0.0
Feature_77,0.0
Feature_76,0.0
Feature_68,0.0
Feature_79,0.0
Feature_78,0.0
Feature_1,0.0
Feature_83,0.0
Feature_31_diff_Feature_1122,0.0
Feature_79_sum_Feature_106,0.0
Feature_62_sum_Feature_106,0.0
Feature_62_multiply_Feature_106,0.0
Feature_109_sum_Feature_106,0.0
Feature_109_multiply_Feature_106,0.0
Feature_1122,0.0
Feature_99,0.0
Feature_98,0.0
Feature_97,0.0
Feature_96,0.0
Feature_95,0.0
Feature_93,0.0
Feature_92,0.0
Feature_91,0.0
Feature_89,0.0
Feature_88,0.0
Feature_87,0.0
Feature_85,0.0
Feature_82,0.0
Feature_110,0.0
Feature_109,0.0
Feature_92_sum_Feature_106,0.0
Feature_24,0.0
Feature_22,0.0
Feature_21,0.0
Feature_50,0.0
Feature_16,0.0
Feature_52,0.0
Feature_27,0.0
Feature_107,0.0
Feature_15,0.0
Feature_14,0.0
Feature_13,0.0
Feature_12,0.0
Feature_10,0.0
Feature_7,0.0
Feature_106,0.0
Feature_61,0.0
Feature_25,0.0
Feature_26,0.0
Feature_62,0.0003884109109640099
Feature_63,0.000662301871925608
Feature_53,0.0007837239094078518
Feature_86,0.0009476818889379346
Feature_90,0.001800827542319905
random_feature,0.0020970229431986898
Feature_43,0.002437794934958215
Feature_60,0.002682294882833958
Feature_71,0.003106576716527343
Feature_44,0.005070997895672924
Feature_73,0.005642887372523542
Feature_51,0.005724742421880358
Feature_31,0.0075379490759223565
Feature_2,0.008071714984253043
Feature_8,0.008817147351801401
Feature_36,0.009352275086566808
Feature_72,0.0099535855744034
Feature_28,0.01032207048498095
Feature_37,0.014503715671598916
Feature_57,0.019443017710000277
Feature_39,0.01977748497389257
Feature_70,0.020063866851851343
Feature_59,0.023334735156968232
Feature_9,0.02691486257128418
Feature_40,0.02982780144549906
Feature_41,0.0372700422257185
Feature_106_diff_Feature_66,0.045352552616968744
Feature_47,0.059642301090061675
