feature,mean_importance
Feature_31_sum_Feature_106,-0.017612460395321272
Feature_43,-0.01320377707481385
Feature_49,-0.012900994601659499
Feature_90_sum_Feature_106,-0.011196050075814135
Feature_36,-0.009938718955963866
Feature_106,-0.009734467873349795
Feature_79_sum_Feature_106,-0.00719070817343892
Feature_72,-0.003123132502660164
Feature_37,-0.002013689521700146
Feature_92_sum_Feature_106,-0.001514880633912985
Feature_109_multiply_Feature_106,-0.0010639799945056706
Feature_9,-0.0009128788486123196
Feature_56,-0.0005511490162462218
Feature_53,-0.00045642799697818146
Feature_55,-0.0002897284924984089
Feature_60,-0.00015228757634759836
Feature_57,-0.00012836080044509313
Feature_107,-6.27897307276859e-05
Feature_81,0.0
Feature_92,0.0
Feature_61,0.0
Feature_91,0.0
Feature_109,0.0
Feature_110,0.0
Feature_90,0.0
Feature_89,0.0
Feature_66,0.0
Feature_77,0.0
Feature_68,0.0
Feature_80,0.0
Feature_69,0.0
Feature_79,0.0
Feature_88,0.0
Feature_87,0.0
Feature_31_diff_Feature_1122,0.0
Feature_85,0.0
Feature_74,0.0
Feature_75,0.0
Feature_76,0.0
Feature_78,0.0
Feature_67,0.0
Feature_14,0.0
Feature_52,0.0
Feature_15,0.0
Feature_16,0.0
Feature_21,0.0
Feature_22,0.0
Feature_24,0.0
Feature_25,0.0
Feature_26,0.0
Feature_27,0.0
Feature_62_multiply_Feature_106,0.0
Feature_109_sum_Feature_106,0.0
Feature_12,0.0
Feature_13,0.0
Feature_10,0.0
Feature_99,0.0
Feature_62_sum_Feature_106,0.0
Feature_98,0.0
Feature_45,0.0
Feature_97,0.0
Feature_96,0.0
Feature_95,0.0
Feature_82,0.0
Feature_50,0.0
Feature_93,0.0
Feature_1122,0.0
Feature_83,0.0
Feature_58,5.112215876579285e-05
Feature_11,0.00031560627743600913
Feature_62,0.0004089818056672745
Feature_42,0.0006529885018244253
Feature_7,0.0006647714041173369
Feature_46,0.0008282672939821878
Feature_44,0.001358492281287893
Feature_1,0.0015941044921055302
Feature_70,0.001711877449415622
Feature_86,0.002350319316610683
Feature_39,0.0024419647548347577
Feature_38,0.003292531543411292
Feature_73,0.0034699756279587546
Feature_84,0.004020202094688996
Feature_48,0.004381866473704565
Feature_106_diff_Feature_66,0.004444882264360789
Feature_63,0.007161652985960232
Feature_59,0.009757716041058285
Feature_64,0.010015795179642729
Feature_8,0.013317357315681877
Feature_71,0.025621578628197285
Feature_41,0.033587660542689246
Feature_40,0.035291914362460375
Feature_28,0.036059477427043005
Feature_51,0.038416946702636755
Feature_2,0.04047134056221693
Feature_31,0.04904519737232475
Feature_47,0.06512687690556049
