Learner 1,Learner 2,Learner 3,Learner 4,Learner 5,counter
0.0087574519962072,0.1012304488848895,0.0635779359890148,0.0820202753017656,0.0453525526169687,1
0.0096679862216115,0.0335537965456023,0.0609459004132077,0.1159041808382608,0.0372700422257185,1
0.0554922987148165,0.0455773787479847,0.0178651481634005,0.0641919871326535,0.0596423010900616,0
0.0365017255907878,0.0090196663932874,0.0514740239689126,0.0523642916488461,0.0103220704849809,0
0.0369726454513147,0.0616214541485533,0.0351537242019548,0.0040627366257831,0.0075379490759223,0
0.029437794573605,0.0214209691993892,0.0070015799487009,0.0498778404691256,0.0057247424218803,0
-0.0032456961320712,0.0175367491692304,0.0173787522921338,0.043569516588468,0.0056428873725235,1
0.0332970343669876,0.0322547269286587,0.0088087467709556,-0.0322719452437013,0.029827801445499,1
0.0267412100406363,0.0135684034368023,0.000299743306823,0.0073628886626101,0.008071714984253,0
0.0018592056818306,0.0116227249801159,0.0102154241502285,0.0007607749546877,0.0233347351569682,1
0.0132540588872507,0.0132417940022424,0.0055811106273904,0.0054011041077319,0.0031065767165273,1
-0.0004878409206867,0.007530294759199,0.0030557739268988,0.0030882307211868,0.0269148625712841,2
-0.003124712863937,0.0069020699430257,0.0184891325747594,0.0029210413573309,0.0099535855744034,2
0.0109254654962569,0.0013802769454196,0.0001128900051116,0.0042791441036388,0.0088171473518014,2
0.0012678992003202,0.0031670004082843,0.0043988254852592,-0.0033125362498685,0.0194430177100002,3
0.0137656347546726,0.008615116495639,-0.000395425944589,-0.0007878308952786,0.0020970229431986,5
0.0033609041012823,-0.0048638753267004,0.0048091122414916,0.0172888580267317,0.0007837239094078,3
-0.0023687269259243,0.0036989040672779,0.0127168814372271,-0.0009435531450435,0.0050709978956729,3
0.0059837488923222,0.0014395655039698,0.0086500523984432,0.0,-0.0002649278286844,4
0.0043259894615039,0.0089193675294518,0.0024775271769613,-0.0014366528647951,0.0006623018719256,3
-0.0008678470086306,0.0034527205117046,0.0080108130071312,-0.0105054304911755,0.0145037156715989,3
-0.0096056655794381,0.0121779493195936,0.0013118340540677,0.0012659642938524,0.0093522750865668,1
0.0016609520278871,0.0082341994298622,7.815893739462342e-05,0.0005158650572411,0.0009476818889379,3
-0.0232020008889958,-0.0044305014843121,0.0011021028552204,0.0141094647045247,0.0200638668518513,2
0.0012674762308597,0.0022788603790104,-7.528270129114611e-05,-0.017311500608921,0.0197774849738925,4
0.0029026177804917,0.0010473429597914,0.0,0.0008566139033064,0.0,4
9.265024214984984e-05,0.0,0.0,-0.000277829687111,0.0026822948828339,4
0.0001458971854299,0.0,0.0,0.0,0.0018008275423199,5
0.0,0.0,0.0014413703978061,0.0007701187720522,-0.0002992572076618,3
-0.0003174923267215,-0.0022649522172286,0.00711041636765,-0.0004024432157166,-0.0027738746255636,4
0.0014633921999484,0.0,0.0,-0.000457048008684,0.0,5
0.0014977101888507,0.0,0.0038444522768258,0.0,-0.0043602463789284,4
0.0,0.0,0.0007936438638716,0.0,0.0,4
0.0,0.0,0.0,0.0005953880865126,0.0,4
0.0,0.0,3.336858004331367e-05,0.0005144060752354,0.0,3
0.0,0.0002838048664853,0.0,0.0,0.0,5
0.0016113946586847,-0.0008723491989076,0.0,-0.0005164390802383,0.0,5
0.0,0.0001760500669479,0.0,0.0,0.0,5
0.0,0.0,0.0001615123357623,0.0,0.0,4
0.0,0.0,0.0,7.241543382405791e-05,0.0,4
0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,5
