feature,mean_importance
Feature_46,-0.014648861086461717
Feature_62,-0.008684330498799697
Feature_44,-0.005527339796535691
Feature_2,-0.005228675887919976
Feature_9,-0.003418136970140062
Feature_53,-0.0016578649729490301
Feature_84,-0.0012382688745856464
Feature_7,-0.0010234412783756918
Feature_58,-0.000693515711463999
Feature_15,-0.00020503954496234878
Feature_52,0.0
Feature_80,0.0
Feature_50,0.0
Feature_83,0.0
Feature_79,0.0
Feature_82,0.0
Feature_81,0.0
Feature_1122,0.0
Feature_77,0.0
Feature_56,0.0
Feature_75,0.0
Feature_69,0.0
Feature_61,0.0
Feature_109,0.0
Feature_110,0.0
Feature_68,0.0
Feature_107,0.0
Feature_99,0.0
Feature_87,0.0
Feature_67,0.0
Feature_98,0.0
Feature_97,0.0
Feature_10,0.0
Feature_11,0.0
Feature_12,0.0
Feature_13,0.0
Feature_14,0.0
Feature_16,0.0
Feature_21,0.0
Feature_22,0.0
Feature_24,0.0
Feature_25,0.0
Feature_26,0.0
Feature_27,0.0
Feature_96,0.0
Feature_95,0.0
Feature_92,0.0
Feature_91,0.0
Feature_90,0.0
Feature_89,0.0
Feature_88,0.0
Feature_85,0.0
Feature_66,8.760033175347903e-05
Feature_1,0.00015591081231831617
Feature_55,0.0002154893288388693
Feature_78,0.0004463588260114171
Feature_49,0.0005638674274086819
Feature_93,0.0005687816999852546
Feature_42,0.0006828930089250118
Feature_45,0.0006951039843261064
Feature_43,0.00115578362252563
Feature_63,0.0013077602069824779
Feature_57,0.0013818870577961162
Feature_76,0.0019242152385413602
Feature_8,0.0019303816743194923
Feature_59,0.0019647770747542315
Feature_38,0.002135140132158997
Feature_86,0.0024374832026660244
Feature_74,0.002720674760639663
Feature_60,0.0029822548897936786
Feature_39,0.004622588041238473
Feature_37,0.006013857787474974
Feature_73,0.007023976645432417
Feature_72,0.008526523918844753
Feature_48,0.008774388923775401
Feature_36,0.009314312082715315
Feature_71,0.01074126983061433
Feature_64,0.011309797512367348
Feature_28,0.017142212293110783
Feature_70,0.018050901924725603
Feature_40,0.022241941033862532
Feature_31,0.02282562163192777
Feature_47,0.03290300678927449
Feature_51,0.03560249362606553
Feature_106,0.055213413652963915
Feature_41,0.06842121125664562
